ENABLE,id,unit_label,level,required_coin,release_key
e,1,DropR,1,0,202509010
e,2,DropR,2,20,202509010
e,3,DropR,3,20,202509010
e,4,DropR,4,21,202509010
e,5,DropR,5,22,202509010
e,6,DropR,6,22,202509010
e,7,DropR,7,23,202509010
e,8,DropR,8,24,202509010
e,9,DropR,9,25,202509010
e,10,DropR,10,27,202509010
e,11,DropR,11,28,202509010
e,12,DropR,12,29,202509010
e,13,DropR,13,31,202509010
e,14,DropR,14,33,202509010
e,15,DropR,15,34,202509010
e,16,DropR,16,36,202509010
e,17,DropR,17,39,202509010
e,18,DropR,18,41,202509010
e,19,DropR,19,43,202509010
e,20,DropR,20,46,202509010
e,21,DropR,21,49,202509010
e,22,DropR,22,52,202509010
e,23,DropR,23,55,202509010
e,24,DropR,24,59,202509010
e,25,DropR,25,63,202509010
e,26,DropR,26,67,202509010
e,27,DropR,27,72,202509010
e,28,DropR,28,77,202509010
e,29,DropR,29,82,202509010
e,30,DropR,30,88,202509010
e,31,DropR,31,94,202509010
e,32,DropR,32,101,202509010
e,33,DropR,33,108,202509010
e,34,DropR,34,116,202509010
e,35,DropR,35,125,202509010
e,36,DropR,36,134,202509010
e,37,DropR,37,144,202509010
e,38,DropR,38,155,202509010
e,39,DropR,39,166,202509010
e,40,DropR,40,179,202509010
e,41,DropR,41,193,202509010
e,42,DropR,42,208,202509010
e,43,DropR,43,224,202509010
e,44,DropR,44,242,202509010
e,45,DropR,45,261,202509010
e,46,DropR,46,282,202509010
e,47,DropR,47,304,202509010
e,48,DropR,48,329,202509010
e,49,DropR,49,355,202509010
e,50,DropR,50,377,202509010
e,51,DropR,51,400,202509010
e,52,DropR,52,424,202509010
e,53,DropR,53,450,202509010
e,54,DropR,54,478,202509010
e,55,DropR,55,508,202509010
e,56,DropR,56,539,202509010
e,57,DropR,57,573,202509010
e,58,DropR,58,609,202509010
e,59,DropR,59,647,202509010
e,60,DropR,60,681,202509010
e,61,DropR,61,717,202509010
e,62,DropR,62,755,202509010
e,63,DropR,63,795,202509010
e,64,DropR,64,838,202509010
e,65,DropR,65,883,202509010
e,66,DropR,66,930,202509010
e,67,DropR,67,980,202509010
e,68,DropR,68,1033,202509010
e,69,DropR,69,1089,202509010
e,70,DropR,70,1142,202509010
e,71,DropR,71,1196,202509010
e,72,DropR,72,1254,202509010
e,73,DropR,73,1315,202509010
e,74,DropR,74,1378,202509010
e,75,DropR,75,1445,202509010
e,76,DropR,76,1516,202509010
e,77,DropR,77,1590,202509010
e,78,DropR,78,1668,202509010
e,79,DropR,79,1750,202509010
e,80,DropR,80,1837,202509010
e,81,DropR,81,1928,202509010
e,82,DropR,82,2023,202509010
e,83,DropR,83,2124,202509010
e,84,DropR,84,2230,202509010
e,85,DropR,85,2342,202509010
e,86,DropR,86,2460,202509010
e,87,DropR,87,2583,202509010
e,88,DropR,88,2714,202509010
e,89,DropR,89,2851,202509010
e,90,DropR,90,2996,202509010
e,91,DropR,91,3148,202509010
e,92,DropR,92,3309,202509010
e,93,DropR,93,3478,202509010
e,94,DropR,94,3656,202509010
e,95,DropR,95,3844,202509010
e,96,DropR,96,4042,202509010
e,97,DropR,97,4251,202509010
e,98,DropR,98,4470,202509010
e,99,DropR,99,4702,202509010
e,100,DropR,100,4935,202509010
e,101,DropR,101,5180,202509010
e,102,DropR,102,5438,202509010
e,103,DropR,103,5709,202509010
e,104,DropR,104,5995,202509010
e,105,DropR,105,6295,202509010
e,106,DropR,106,6611,202509010
e,107,DropR,107,6943,202509010
e,108,DropR,108,7293,202509010
e,109,DropR,109,7661,202509010
e,110,DropR,110,8049,202509010
e,111,DropR,111,8457,202509010
e,112,DropR,112,8886,202509010
e,113,DropR,113,9339,202509010
e,114,DropR,114,9815,202509010
e,115,DropR,115,10316,202509010
e,116,DropR,116,10844,202509010
e,117,DropR,117,11400,202509010
e,118,DropR,118,11986,202509010
e,119,DropR,119,12602,202509010
e,120,DropR,120,13252,202509010
e,121,DropR,121,13937,202509010
e,122,DropR,122,14658,202509010
e,123,DropR,123,15417,202509010
e,124,DropR,124,16218,202509010
e,125,DropR,125,17061,202509010
e,126,DropR,126,17950,202509010
e,127,DropR,127,18886,202509010
e,128,DropR,128,19874,202509010
e,129,DropR,129,20914,202509010
e,130,DropR,130,21978,202509010
e,131,DropR,131,23099,202509010
e,132,DropR,132,24279,202509010
e,133,DropR,133,25520,202509010
e,134,DropR,134,26828,202509010
e,135,DropR,135,28204,202509010
e,136,DropR,136,29653,202509010
e,137,DropR,137,31180,202509010
e,138,DropR,138,32787,202509010
e,139,DropR,139,34479,202509010
e,140,DropR,140,36262,202509010
e,141,DropR,141,38139,202509010
e,142,DropR,142,40116,202509010
e,143,DropR,143,42199,202509010
e,144,DropR,144,44394,202509010
e,145,DropR,145,46705,202509010
e,146,DropR,146,49141,202509010
e,147,DropR,147,51707,202509010
e,148,DropR,148,54411,202509010
e,149,DropR,149,57260,202509010
e,150,DropR,150,0,202509010
e,151,DropSR,1,0,202509010
e,152,DropSR,2,40,202509010
e,153,DropSR,3,41,202509010
e,154,DropSR,4,42,202509010
e,155,DropSR,5,43,202509010
e,156,DropSR,6,45,202509010
e,157,DropSR,7,47,202509010
e,158,DropSR,8,49,202509010
e,159,DropSR,9,51,202509010
e,160,DropSR,10,53,202509010
e,161,DropSR,11,56,202509010
e,162,DropSR,12,59,202509010
e,163,DropSR,13,62,202509010
e,164,DropSR,14,65,202509010
e,165,DropSR,15,69,202509010
e,166,DropSR,16,73,202509010
e,167,DropSR,17,77,202509010
e,168,DropSR,18,82,202509010
e,169,DropSR,19,87,202509010
e,170,DropSR,20,92,202509010
e,171,DropSR,21,98,202509010
e,172,DropSR,22,104,202509010
e,173,DropSR,23,111,202509010
e,174,DropSR,24,118,202509010
e,175,DropSR,25,126,202509010
e,176,DropSR,26,134,202509010
e,177,DropSR,27,143,202509010
e,178,DropSR,28,153,202509010
e,179,DropSR,29,164,202509010
e,180,DropSR,30,176,202509010
e,181,DropSR,31,188,202509010
e,182,DropSR,32,202,202509010
e,183,DropSR,33,216,202509010
e,184,DropSR,34,232,202509010
e,185,DropSR,35,249,202509010
e,186,DropSR,36,268,202509010
e,187,DropSR,37,288,202509010
e,188,DropSR,38,309,202509010
e,189,DropSR,39,333,202509010
e,190,DropSR,40,358,202509010
e,191,DropSR,41,386,202509010
e,192,DropSR,42,416,202509010
e,193,DropSR,43,448,202509010
e,194,DropSR,44,484,202509010
e,195,DropSR,45,522,202509010
e,196,DropSR,46,563,202509010
e,197,DropSR,47,609,202509010
e,198,DropSR,48,658,202509010
e,199,DropSR,49,711,202509010
e,200,DropSR,50,754,202509010
e,201,DropSR,51,800,202509010
e,202,DropSR,52,848,202509010
e,203,DropSR,53,900,202509010
e,204,DropSR,54,956,202509010
e,205,DropSR,55,1015,202509010
e,206,DropSR,56,1078,202509010
e,207,DropSR,57,1146,202509010
e,208,DropSR,58,1218,202509010
e,209,DropSR,59,1294,202509010
e,210,DropSR,60,1362,202509010
e,211,DropSR,61,1434,202509010
e,212,DropSR,62,1510,202509010
e,213,DropSR,63,1590,202509010
e,214,DropSR,64,1675,202509010
e,215,DropSR,65,1765,202509010
e,216,DropSR,66,1860,202509010
e,217,DropSR,67,1960,202509010
e,218,DropSR,68,2067,202509010
e,219,DropSR,69,2179,202509010
e,220,DropSR,70,2283,202509010
e,221,DropSR,71,2393,202509010
e,222,DropSR,72,2508,202509010
e,223,DropSR,73,2629,202509010
e,224,DropSR,74,2757,202509010
e,225,DropSR,75,2891,202509010
e,226,DropSR,76,3032,202509010
e,227,DropSR,77,3180,202509010
e,228,DropSR,78,3336,202509010
e,229,DropSR,79,3501,202509010
e,230,DropSR,80,3673,202509010
e,231,DropSR,81,3855,202509010
e,232,DropSR,82,4047,202509010
e,233,DropSR,83,4248,202509010
e,234,DropSR,84,4461,202509010
e,235,DropSR,85,4684,202509010
e,236,DropSR,86,4919,202509010
e,237,DropSR,87,5167,202509010
e,238,DropSR,88,5428,202509010
e,239,DropSR,89,5702,202509010
e,240,DropSR,90,5992,202509010
e,241,DropSR,91,6297,202509010
e,242,DropSR,92,6618,202509010
e,243,DropSR,93,6956,202509010
e,244,DropSR,94,7312,202509010
e,245,DropSR,95,7688,202509010
e,246,DropSR,96,8084,202509010
e,247,DropSR,97,8501,202509010
e,248,DropSR,98,8941,202509010
e,249,DropSR,99,9404,202509010
e,250,DropSR,100,9870,202509010
e,251,DropSR,101,10360,202509010
e,252,DropSR,102,10876,202509010
e,253,DropSR,103,11418,202509010
e,254,DropSR,104,11989,202509010
e,255,DropSR,105,12589,202509010
e,256,DropSR,106,13221,202509010
e,257,DropSR,107,13886,202509010
e,258,DropSR,108,14586,202509010
e,259,DropSR,109,15322,202509010
e,260,DropSR,110,16098,202509010
e,261,DropSR,111,16914,202509010
