ENABLE,release_key,id,opr_campaign_id,language,description
e,1,Campaign1_1_ja,Campaign1_1,ja,"消費量  <color=#C81919><size=22>1/2</size></color>"
e,1,Campaign1_2_ja,Campaign1_2,ja,"獲得量   <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_3_ja,Campaign1_3,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_4_ja,Campaign1_4,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_5_ja,Campaign1_5,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_6_ja,Campaign1_6,ja,<color=#C81919><size=22>43</size><size=17>回</size></color>にUP中!!
e,1,Campaign1_7_ja,Campaign1_7,ja,"消費量  <color=#C81919><size=22>1/2</size></color>"
e,1,Campaign1_8_ja,Campaign1_8,ja,"獲得量   <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_9_ja,Campaign1_9,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_10_ja,Campaign1_10,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_11_ja,Campaign1_11,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_12_ja,Campaign1_12,ja,<color=#C81919><size=22>43</size><size=17>回</size></color>にUP中!!
e,1,Campaign1_13_ja,Campaign1_13,ja,"獲得量   <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_14_ja,Campaign1_14,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_15_ja,Campaign1_15,ja,<color=#C81919><size=22>6</size><size=17>回</size></color>にUP中!!
e,1,Campaign1_16_ja,Campaign1_16,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_17_ja,Campaign1_17,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_18_ja,Campaign1_18,ja,<color=#C81919><size=22>6</size><size=17>回</size></color>にUP中!!
e,1,Campaign1_19_ja,Campaign1_19,ja,"獲得量   <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_20_ja,Campaign1_20,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_21_ja,Campaign1_21,ja,"ドロップ量 <color=#C81919><size=22>100</size><size=17>%UP</size></color>"
e,1,Campaign1_22_ja,Campaign1_22,ja,<color=#C81919><size=22>6</size><size=17>回</size></color>にUP中!!
e,1,Campaign1_23_ja,Campaign1_23,ja,"獲得量   <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_34_ja,Campaign1_34,ja,"消費量  <color=#C81919><size=22>1/2</size></color>"
e,1,Campaign1_35_ja,Campaign1_35,ja,"獲得量   <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_36_ja,Campaign1_36,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
e,1,Campaign1_37_ja,Campaign1_37,ja,"ドロップ率 <color=#C81919><size=22>2</size><size=17>倍</size></color>"
