ENABLE,release_key,id,mst_advent_battle_id,language,name,boss_description
e,202509010,quest_raid_kai_00001_ja,quest_raid_kai_00001,ja,怪獣退治の時間,ボスを倒して高スコア獲得!!
e,202510010,quest_raid_spy1_00001_ja,quest_raid_spy1_00001,ja,SPY×FAMILY,ボスを倒して高スコア獲得!!
e,202510020,quest_raid_dan1_00001_ja,quest_raid_dan1_00001,ja,ダンダダン,
e,202511010,quest_raid_mag1_00001_ja,quest_raid_mag1_00001,ja,業務実行!!,ボスを倒して高スコア獲得!!
e,202511010,quest_raid_kai_00002_ja,quest_raid_kai_00002,ja,怪獣退治の時間,ボスを倒して高スコア獲得!!
e,202511020,quest_raid_yuw1_00001_ja,quest_raid_yuw1_00001,ja,夏コミの魔物,ボスを倒して高スコア獲得!!
e,202512010,quest_raid_sur1_00001_ja,quest_raid_sur1_00001,ja,魔防隊と戦う者,ボスを倒して高スコア獲得!!
e,202512020,quest_raid_osh1_00001_ja,quest_raid_osh1_00001,ja,ファーストライブ,ボスを倒して高スコア獲得!!
e,202601010,quest_raid_jig1_00001_ja,quest_raid_jig1_00001,ja,"まるで 悪夢を見ているようだ",ボスを倒して高スコア獲得!!
e,202602015,quest_raid_you1_00001_ja,quest_raid_you1_00001,ja,誰の依頼だ？,ボスを倒して高スコア獲得!!
e,202602020,quest_raid_kim1_00001_ja,quest_raid_kim1_00001,ja,100カノ編,ボスを倒して高スコア獲得!!
e,202603010,quest_raid_hut1_00001_ja,quest_raid_hut1_00001,ja,片鱗を示す,ボスを倒して高スコア獲得!!
e,202603020,quest_raid_glo2_00001_ja,quest_raid_glo2_00001,ja,覇者への挑戦編,ボスを倒して高スコア獲得!!
e,202603025,quest_raid_l05anniv_00001_ja,quest_raid_l05anniv_00001,ja,英雄への挑戦編,ボスを倒して高スコア獲得!!
