ENABLE,release_key,id,mst_quest_id,language,name,category_name,flavor_text
e,1,1_ja,1,ja,01.ダンダダン,,"幽霊を信じないオカルトマニアの少年・高倉と、宇宙人を信じない少女・綾瀬は、互いの理解を超越した圧倒的怪奇に出会う――…！\n オカルティック青春物語!!\n(スクロール表示テスト改行)\n(スクロール表示テスト改行)\n(スクロール表示テスト改行)\n(スクロール表示テスト改行)\n(スクロール表示テスト改行)\n\n(スクロール表示テスト改行)\n(スクロール表示テスト改行)\n(スクロール表示テスト改行)"
e,1,2_ja,2,ja,02.姫様拷問の時間です,,"国王軍第三騎士団“騎士団長“として数々の戦場で活躍した姫は、魔王軍に囚われてしまった！\n拷問官から容赦ない拷問が執行される！\n王国の秘密を守れるのか！？\n(スクロール表示テスト改行)\n(スクロール表示テスト改行)\n(スクロール表示テスト改行)\n(スクロール表示テスト改行)\n\n(スクロール表示テスト改行)\n(スクロール表示テスト改行)\n(スクロール表示テスト改行)"
e,1,3_ja,3,ja,03.地獄楽,,"かつて最強の忍として、畏れられた“画眉丸”は抜け忍として囚われていた。\nそんな中、打ち首執行人を務める“山田浅ェ門佐切”から無罪放免になる為の条件を突きつけられる。\nその条件とは極楽浄土と噂の地で「不老不死の仙薬」を手に入れること…!!"
e,1,4_ja,4,ja,04.魔都精兵のスレイブ,,日本各所に異空間「魔都」への扉が出現！化け物から人々を守る“痛快＆可愛い”ヒロインたちのバトル＆ご褒美ファンタジー!!
e,1,5_ja,5,ja,01.ダンダダン,,"幽霊を信じないオカルトマニアの少年・高倉と、宇宙人を信じない少女・綾瀬は、互いの理解を超越した圧倒的怪奇に出会う――…！\n オカルティック青春物語!!"
e,1,6_ja,6,ja,02.姫様拷問の時間です,,"国王軍第三騎士団“騎士団長“として数々の戦場で活躍した姫は、魔王軍に囚われてしまった！\n拷問官から容赦ない拷問が執行される！\n王国の秘密を守れるのか！？"
e,1,7_ja,7,ja,03.地獄楽,,"かつて最強の忍として、畏れられた“画眉丸”は抜け忍として囚われていた。\nそんな中、打ち首執行人を務める“山田浅ェ門佐切”から無罪放免になる為の条件を突きつけられる。\nその条件とは極楽浄土と噂の地で「不老不死の仙薬」を手に入れること…!!"
e,1,8_ja,8,ja,04.魔都精兵のスレイブ,,日本各所に異空間「魔都」への扉が出現！化け物から人々を守る“痛快＆可愛い”ヒロインたちのバトル＆ご褒美ファンタジー!!
e,1,9_ja,9,ja,01.ダンダダン,,"幽霊を信じないオカルトマニアの少年・高倉と、宇宙人を信じない少女・綾瀬は、互いの理解を超越した圧倒的怪奇に出会う――…！\n オカルティック青春物語!!"
e,1,10_ja,10,ja,02.姫様拷問の時間です,,"国王軍第三騎士団“騎士団長“として数々の戦場で活躍した姫は、魔王軍に囚われてしまった！\n拷問官から容赦ない拷問が執行される！\n王国の秘密を守れるのか！？"
e,1,11_ja,11,ja,03.地獄楽,,"かつて最強の忍として、畏れられた“画眉丸”は抜け忍として囚われていた。\nそんな中、打ち首執行人を務める“山田浅ェ門佐切”から無罪放免になる為の条件を突きつけられる。\nその条件とは極楽浄土と噂の地で「不老不死の仙薬」を手に入れること…!!"
e,1,12_ja,12,ja,04.魔都精兵のスレイブ,,日本各所に異空間「魔都」への扉が出現！化け物から人々を守る“痛快＆可愛い”ヒロインたちのバトル＆ご褒美ファンタジー!!
e,1,13_ja,13,ja,強化クエスト,,[仮]強化クエストフレーバーテキスト
e,1,test1_01_ja,test1_01,ja,QAテストクエスト1,,QAテスト用クエスト
e,1,test1_02_ja,test1_02,ja,QAテストクエスト1,,QAテスト用クエスト
e,1,test1_03_ja,test1_03,ja,QAテストクエスト1,,QAテスト用クエスト
e,1,test2_01_ja,test2_01,ja,QAテストクエスト2,,QAテスト用クエスト
e,1,test2_02_ja,test2_02,ja,QAテストクエスト2,,QAテスト用クエスト
e,1,test2_03_ja,test2_03,ja,QAテストクエスト2,,QAテスト用クエスト
e,1,test3_01_ja,test3_01,ja,QAテストクエスト3,,QAテスト用クエスト
e,1,test3_02_ja,test3_02,ja,QAテストクエスト3,,QAテスト用クエスト
e,1,test3_03_ja,test3_03,ja,QAテストクエスト3,,QAテスト用クエスト
e,1,test4_01_ja,test4_01,ja,QAテストクエスト4,,QAテスト用クエスト
e,1,test4_02_ja,test4_02,ja,QAテストクエスト4,,QAテスト用クエスト
e,1,test4_03_ja,test4_03,ja,QAテストクエスト4,,QAテスト用クエスト
e,1,test5_01_ja,test5_01,ja,QAテストクエスト5,,QAテスト用クエスト
e,1,test5_02_ja,test5_02,ja,QAテストクエスト5,,QAテスト用クエスト
e,1,test5_03_ja,test5_03,ja,QAテストクエスト5,,QAテスト用クエスト
e,1,test6_01_ja,test6_01,ja,QAテストクエスト6,,QAテスト用クエスト
e,1,event_test_fragment_n_ja,event_test_fragment_n,ja,０１２３４５６７８９あいうえおかきくけこ０１２３４５６７８９あいうえおか,テストカテゴリ１,説明文
e,1,event_test_fragment_h_ja,event_test_fragment_h,ja,０１２３４５６７８９あいうえおかきくけこ０１２３４５６７８９あいうえおか,テストカテゴリ１,説明文
e,1,event_test_fragment_vh_ja,event_test_fragment_vh,ja,０１２３４５６７８９あいうえおかきくけこ０１２３４５６７８９あいうえおか,テストカテゴリ１,説明文
e,1,event_test_artwork_n_ja,event_test_artwork_n,ja,テストイベント(原画),テストカテゴリ２,説明文
e,1,event_test_artwork_h_ja,event_test_artwork_h,ja,テストイベント(原画),テストカテゴリ２,説明文
e,1,event_test_artwork_vh_ja,event_test_artwork_vh,ja,テストイベント(原画),テストカテゴリ２,説明文
e,1,event_test_speed_attack_n_ja,event_test_speed_attack_n,ja,"テストイベント(スピードアタックN)\n０１２３４５６７８９あいうえおかきくけこ０１２３４５６７８９あいうえおか",,テストイベント説明文(スピードアタックN)
e,1,event_test_speed_attack_h_ja,event_test_speed_attack_h,ja,"テストイベント(スピードアタックH)\n０１２３４５６７８９あいうえおかきくけこ０１２３４５６７８９あいうえおか",,テストイベント説明文(スピードアタックH)
e,1,event_test_speed_attack_vh_ja,event_test_speed_attack_vh,ja,"テストイベント(スピードアタックVH)\n０１２３４５６７８９あいうえおかきくけこ０１２３４５６７８９あいうえおか",,テストイベント説明文(スピードアタックVH)
e,1,event_view_test_release_at_ja,event_view_test_release_at,ja,開催前テスト,,開催前に関する表示テストクエスト
e,1,event_view_test_end_at_ja,event_view_test_end_at,ja,開催終了テスト,,開催終了に関する表示テストクエスト
e,1,view_test_release_at_ja,view_test_release_at,ja,開催表示テスト,,"幽霊を信じないオカルトマニアの少年・高倉と、宇宙人を信じない少女・綾瀬は、互いの理解を超越した圧倒的怪奇に出会う――…！\n オカルティック青春物語!!"
e,1,tutorial_ja,tutorial,ja,チュートリアル,,チュートリアル専用のステージ
e,1,event_test_fragment_n2_ja,event_test_fragment_n2,ja,クエスト期限挙動確認1,テストカテゴリ１,クエスト期限挙動確認1
e,1,event_test_fragment_h2_ja,event_test_fragment_h2,ja,クエスト期限挙動確認2,テストカテゴリ１,クエスト期限挙動確認2
e,1,test_darkness_koma_special_ja,test_darkness_koma_special,ja,暗闇コマスペシャル挙動確認,,暗闇コマスペシャル挙動確認
e,1,test_defense_target_scroll_ja,test_defense_target_scroll,ja,防衛オブジェクトスクロール挙動確認,,防衛オブジェクトスクロール挙動確認
e,1,test_slipdamage_koma_ja,test_slipdamage_koma,ja,スリップダメージコマの挙動確認,,スリップダメージコマの挙動確認
e,1,quest_event_spy1_charaget005_ja,quest_event_spy1_charaget005,ja,お似合いの親子じゃんか,ストーリー,
e,1,quest_event_spy1_charaget01_ja,quest_event_spy1_charaget01,ja,お似合いの親子じゃんか,,
