ENABLE,id,hp,is_damage_invalidation,outpost_asset_key,artwork_asset_key,release_key
e,1,1000,,,,202509010
e,2,1000,,,,202509010
e,3,2500,,,,202509010
e,4,2500,,,,202509010
e,5,3500,,,,202509010
e,6,3500,,,,202509010
e,7,4500,,,,202509010
e,8,4500,,,,202509010
e,9,5500,,,,202509010
e,10,5500,,,,202509010
e,11,10000,,,,202509010
e,12,10000,,,,202509010
e,13,15000,,,,202509010
e,14,15000,,,,202509010
e,plan_test_stage001,20000,,,glo_0002,202509010
e,tutorial,100,,,tutorial_0002,202509010
e,enhance_glo_00001,10000,1,glo_enemy_0001,,202509010
e,pvp,100,,pvpplayer_default,,202509010
e,normal_spy_00001,5000,,,spy_0001,202509010
e,normal_spy_00002,5000,,,spy_0001,202509010
e,normal_spy_00003,5000,,,spy_0001,202509010
e,normal_spy_00004,5000,,,spy_0001,202509010
e,normal_spy_00005,5000,,,spy_0001,202509010
e,normal_spy_00006,5000,,,spy_0001,202509010
e,hard_spy_00001,50000,,,spy_0002,202509010
e,hard_spy_00002,50000,,,spy_0002,202509010
e,hard_spy_00003,50000,,,spy_0002,202509010
e,hard_spy_00004,50000,,,spy_0002,202509010
e,hard_spy_00005,50000,,,spy_0002,202509010
e,hard_spy_00006,50000,,,spy_0002,202509010
e,veryhard_spy_00001,150000,,,spy_0003,202509010
e,veryhard_spy_00002,150000,,,spy_0003,202509010
e,veryhard_spy_00003,150000,,,spy_0003,202509010
e,veryhard_spy_00004,150000,,,spy_0003,202509010
e,veryhard_spy_00005,150000,,,spy_0003,202509010
e,veryhard_spy_00006,150000,,,spy_0003,202509010
e,normal_gom_00001,5000,,gom_enemy_0001,,202509010
e,normal_gom_00002,5000,,gom_enemy_0001,,202509010
e,normal_gom_00003,5000,,gom_enemy_0003,,202509010
e,normal_gom_00004,5000,,gom_enemy_0001,,202509010
e,normal_gom_00005,5000,,gom_enemy_0001,,202509010
e,normal_gom_00006,5000,,,gom_0001,202509010
e,hard_gom_00001,50000,,gom_enemy_0001,,202509010
e,hard_gom_00002,50000,,gom_enemy_0001,,202509010
e,hard_gom_00003,50000,,gom_enemy_0003,,202509010
e,hard_gom_00004,50000,,gom_enemy_0001,,202509010
e,hard_gom_00005,50000,,gom_enemy_0001,,202509010
e,hard_gom_00006,50000,,,gom_0002,202509010
e,veryhard_gom_00001,100000,,gom_enemy_0001,,202509010
e,veryhard_gom_00002,150000,,,gom_0003,202509010
e,veryhard_gom_00003,150000,,gom_enemy_0003,,202509010
e,veryhard_gom_00004,150000,,,gom_0003,202509010
e,veryhard_gom_00005,100000,,gom_enemy_0001,,202509010
e,veryhard_gom_00006,150000,,,gom_0003,202509010
e,normal_aka_00001,5000,,,aka_0001,202509010
e,normal_aka_00002,5000,,,aka_0001,202509010
e,normal_aka_00003,6000,,,aka_0001,202509010
e,hard_aka_00001,50000,,,aka_0002,202509010
e,hard_aka_00002,50000,,,aka_0002,202509010
e,hard_aka_00003,50000,,,aka_0002,202509010
e,veryhard_aka_00001,150000,,,aka_0003,202509010
e,veryhard_aka_00002,150000,,,aka_0003,202509010
e,veryhard_aka_00003,150000,,,aka_0003,202509010
e,normal_glo1_00001,15000,,,tutorial_0002,202509010
