ENABLE,id,release_key,mst_unit_id,mst_emblem_id,grade_unit_level_total_count
e,dummy_0_1,1,chara_aha_00001,1,1
e,dummy_0_2,1,chara_aha_00001,1,1
e,dummy_0_3,1,chara_aha_00001,1,1
e,dummy_1,1,chara_aha_00001,1,1
e,dummy_2,1,chara_aha_00001,1,1
e,dummy_3,1,chara_aha_00001,1,1
e,dummy_4,1,chara_aha_00001,1,1
e,dummy_5,1,chara_aha_00001,1,1
e,dummy_6,1,chara_aha_00001,1,1
e,dummy_7,1,chara_aha_00001,1,1
e,dummy_8,1,chara_aha_00001,1,1
e,dummy_9,1,chara_aha_00001,1,1
e,dummy_10,1,chara_aha_00001,1,1
e,dummy_11,1,chara_aha_00001,1,1
e,dummy_12,1,chara_aha_00001,1,1
e,dummy_13,1,chara_aha_00001,1,1
e,dummy_14,1,chara_aha_00001,1,1
e,dummy_15,1,chara_aha_00001,1,1
e,dummy_16,1,chara_aha_00001,1,1
e,dummy_17,1,chara_aha_00001,1,1
e,dummy_18,1,chara_aha_00001,1,1
e,dummy_19,1,chara_aha_00001,1,1
e,dummy_20,1,chara_aha_00001,1,1
e,dummy_21,1,chara_aha_00001,1,1
e,dummy_22,1,chara_aha_00001,1,1
e,dummy_23,1,chara_aha_00001,1,1
e,dummy_24,1,chara_aha_00001,1,1
e,dummy_25,1,chara_aha_00001,1,1
e,dummy_26,1,chara_aha_00001,1,1
e,dummy_27,1,chara_aha_00001,1,1
e,dummy_28,1,chara_aha_00001,1,1
e,dummy_29,1,chara_aha_00001,1,1
e,dummy_30,1,chara_aha_00001,1,1
e,dummy_31,1,chara_aha_00001,1,1
e,dummy_32,1,chara_aha_00001,1,1
e,dummy_33,1,chara_aha_00001,1,1
e,dummy_34,1,chara_aha_00001,1,1
e,dummy_35,1,chara_aha_00001,1,1
e,dummy_36,1,chara_aha_00001,1,1
e,dummy_37,1,chara_aha_00001,1,1
e,dummy_38,1,chara_aha_00001,1,1
e,dummy_39,1,chara_aha_00001,1,1
e,dummy_40,1,chara_aha_00001,1,1
e,dummy_41,1,chara_aha_00001,1,1
e,dummy_42,1,chara_aha_00001,1,1
e,dummy_43,1,chara_aha_00001,1,1
e,dummy_44,1,chara_aha_00001,1,1
e,dummy_45,1,chara_aha_00001,1,1
e,dummy_46,1,chara_aha_00001,1,1
e,dummy_47,1,chara_aha_00001,1,1
e,dummy_48,1,chara_aha_00001,1,1
e,dummy_49,1,chara_aha_00001,1,1
e,dummy_50,1,chara_aha_00001,1,1
