ENABLE,release_key,id,mst_attack_element_id,min_power_parameter,max_power_parameter,min_effective_count,max_effective_count,min_effective_duration,max_effective_duration,min_effect_parameter,max_effect_parameter
e,202509010,chara_sur_00401_Special_00001,chara_sur_00401_Special_00001,0,0,0,0,0,0,0,10.5
e,202509010,chara_sur_00401_Special_00002,chara_sur_00401_Special_00002,0,0,0,0,0,0,0,10.5
e,202509010,chara_sur_00401_Special_00003,chara_sur_00401_Special_00003,0,0,0,0,0,0,0,10.5
e,202509010,chara_sur_00401_Special_00004,chara_sur_00401_Special_00004,0,0,0,0,0,0,0,10.5
e,202509010,chara_sur_00401_Special_00005,chara_sur_00401_Special_00005,0,0,0,0,0,0,0,10.5
e,202510010,chara_spy_00301_Special_00001,chara_spy_00301_Special_00001,0,0,0,0,0,0,0,7.5
e,202510010,chara_spy_00301_Special_00002,chara_spy_00301_Special_00002,0,0,0,0,0,0,0,7.5
e,202510010,chara_spy_00301_Special_00003,chara_spy_00301_Special_00003,0,0,0,0,0,0,0,7.5
e,202510010,chara_spy_00301_Special_00004,chara_spy_00301_Special_00004,0,0,0,0,0,0,0,7.5
e,202510010,chara_spy_00301_Special_00005,chara_spy_00301_Special_00005,0,0,0,0,0,0,0,7.5
e,202509010,chara_dos_00101_Special_00001,chara_dos_00101_Special_00001,0,0,0,0,0,0,0,13.6
e,202509010,chara_dos_00101_Special_00002,chara_dos_00101_Special_00002,0,0,0,0,0,0,0,13.6
e,202509010,chara_dos_00101_Special_00003,chara_dos_00101_Special_00003,0,0,0,0,0,0,0,13.6
e,202509010,chara_dos_00101_Special_00004,chara_dos_00101_Special_00004,0,0,0,0,0,0,0,13.6
e,202509010,chara_dos_00101_Special_00005,chara_dos_00101_Special_00005,0,0,0,0,0,0,0,13.6
e,202509010,chara_spy_00001_Special_00001a,chara_spy_00001_Special_00001a,0,30,0,0,0,0,0,0
e,202509010,chara_spy_00001_Special_00001b,chara_spy_00001_Special_00001b,0,0,0,0,0,0,0,20
e,202509010,chara_spy_00001_Special_00002a,chara_spy_00001_Special_00002a,0,30,0,0,0,0,0,0
e,202509010,chara_spy_00001_Special_00002b,chara_spy_00001_Special_00002b,0,0,0,0,0,0,0,20
e,202509010,chara_spy_00001_Special_00003a,chara_spy_00001_Special_00003a,0,30,0,0,0,0,0,0
e,202509010,chara_spy_00001_Special_00003b,chara_spy_00001_Special_00003b,0,0,0,0,0,0,0,20
e,202509010,chara_spy_00001_Special_00004a,chara_spy_00001_Special_00004a,0,30,0,0,0,0,0,0
e,202509010,chara_spy_00001_Special_00004b,chara_spy_00001_Special_00004b,0,0,0,0,0,0,0,20
e,202509010,chara_spy_00001_Special_00005a,chara_spy_00001_Special_00005a,0,30,0,0,0,0,0,0
e,202509010,chara_spy_00001_Special_00005b,chara_spy_00001_Special_00005b,0,0,0,0,0,0,0,20
e,202511010,chara_mag_00501_Special_00001,chara_mag_00501_Special_00001,0,0,0,0,0,0,0,10.5
e,202511010,chara_mag_00501_Special_00002,chara_mag_00501_Special_00002,0,0,0,0,0,0,0,10.5
e,202511010,chara_mag_00501_Special_00003,chara_mag_00501_Special_00003,0,0,0,0,0,0,0,10.5
e,202511010,chara_mag_00501_Special_00004,chara_mag_00501_Special_00004,0,0,0,0,0,0,0,10.5
e,202511010,chara_mag_00501_Special_00005,chara_mag_00501_Special_00005,0,0,0,0,0,0,0,10.5
e,202512020,chara_osh_00101_Special_00001a,chara_osh_00101_Special_00001a,0,10000,0,0,0,0,0,0
e,202512020,chara_osh_00101_Special_00002a,chara_osh_00101_Special_00002a,0,10000,0,0,0,0,0,0
e,202512020,chara_osh_00101_Special_00003a,chara_osh_00101_Special_00003a,0,10000,0,0,0,0,0,0
e,202512020,chara_osh_00101_Special_00004a,chara_osh_00101_Special_00004a,0,10000,0,0,0,0,0,0
e,202512020,chara_osh_00101_Special_00005a,chara_osh_00101_Special_00005a,0,10000,0,0,0,0,0,0
e,202601010,chara_jig_00701_Special_00001,chara_jig_00701_Special_00001,0,15,0,0,0,0,0,0
e,202601010,chara_jig_00701_Special_00002,chara_jig_00701_Special_00002,0,15,0,0,0,0,0,0
e,202601010,chara_jig_00701_Special_00003,chara_jig_00701_Special_00003,0,15,0,0,0,0,0,0
e,202601010,chara_jig_00701_Special_00004,chara_jig_00701_Special_00004,0,15,0,0,0,0,0,0
e,202601010,chara_jig_00701_Special_00005,chara_jig_00701_Special_00005,0,15,0,0,0,0,0,0
e,202603020,chara_osh_00801_Special_00001a,chara_osh_00801_Special_00001a,0,0,0,0,0,0,0,18.4
e,202603020,chara_osh_00801_Special_00001b,chara_osh_00801_Special_00001b,0,0,0,0,0,0,0,0
e,202603020,chara_osh_00801_Special_00002a,chara_osh_00801_Special_00002a,0,0,0,0,0,0,0,18.4
e,202603020,chara_osh_00801_Special_00002b,chara_osh_00801_Special_00002b,0,0,0,0,0,0,0,0
e,202603020,chara_osh_00801_Special_00003a,chara_osh_00801_Special_00003a,0,0,0,0,0,0,0,18.4
e,202603020,chara_osh_00801_Special_00003b,chara_osh_00801_Special_00003b,0,0,0,0,0,0,0,0
e,202603020,chara_osh_00801_Special_00004a,chara_osh_00801_Special_00004a,0,0,0,0,0,0,0,18.4
e,202603020,chara_osh_00801_Special_00004b,chara_osh_00801_Special_00004b,0,0,0,0,0,0,0,0
e,202603020,chara_osh_00801_Special_00005a,chara_osh_00801_Special_00005a,0,0,0,0,0,0,0,18.4
e,202603020,chara_osh_00801_Special_00005b,chara_osh_00801_Special_00005b,0,0,0,0,0,0,0,0
