ENABLE,id,release_key,rank_class_type,rank_class_level,upper_rank_max_score,upper_rank_min_score,same_rank_max_score,same_rank_min_score,lower_rank_max_score,lower_rank_min_score
e,Bronze_0,1,Bronze,0,10,15,2,-2,-6,-10
e,Bronze_1,1,Bronze,1,10,15,2,-2,-6,-10
e,Bronze_2,1,Bronze,2,10,15,2,-2,-6,-10
e,Bronze_3,1,Bronze,3,10,15,2,-2,-6,-10
e,Bronze_4,1,Bronze,4,10,15,2,-2,-6,-10
e,Silver_1,1,Silver,1,10,15,2,-2,-6,-10
e,Silver_2,1,Silver,2,10,15,2,-2,-6,-10
e,Silver_3,1,Silver,3,10,15,2,-2,-6,-10
e,Silver_4,1,Silver,4,10,15,2,-2,-6,-10
e,Gold_1,1,Gold,1,10,15,2,-2,-6,-10
e,Gold_2,1,Gold,2,10,15,2,-2,-6,-10
e,Gold_3,1,Gold,3,10,15,2,-2,-6,-10
e,Gold_4,1,Gold,4,10,15,2,-2,-6,-10
e,Platinum_1,1,Platinum,1,10,15,2,-2,-6,-10
e,Platinum_2,1,Platinum,2,10,15,2,-2,-6,-10
e,Platinum_3,1,Platinum,3,10,15,2,-2,-6,-10
e,Platinum_4,1,Platinum,4,10,15,2,-2,-6,-10
