ENABLE,id,release_key,group_id,mst_mission_achievement_id,unlock_order
e,1,1,dependency_1,achievement_1,1
e,2,1,dependency_1,achievement_2,2
e,3,1,dependency_1,achievement_3,3
e,4,1,dependency_1,achievement_4,4
e,5,1,dependency_1,achievement_5,5
e,6,1,dependency_1,achievement_6,6
e,7,1,dependency_1,achievement_7,7
e,8,1,dependency_2,achievement_8,1
e,9,1,dependency_2,achievement_9,2
e,10,1,dependency_2,achievement_10,3
e,11,1,dependency_2,achievement_11,4
e,12,1,dependency_2,achievement_12,5
e,13,1,dependency_2,achievement_13,6
e,14,1,dependency_2,achievement_14,7
e,15,1,dependency_2,achievement_15,8
e,16,1,dependency_2,achievement_16,9
e,17,1,dependency_2,achievement_17,10
e,18,1,dependency_2,achievement_18,11
e,19,1,dependency_2,achievement_19,12
e,20,1,dependency_2,achievement_20,13
e,21,1,dependency_2,achievement_21,14
e,22,1,dependency_3,achievement_22,1
e,23,1,dependency_3,achievement_23,2
e,24,1,dependency_3,achievement_24,3
e,25,1,dependency_3,achievement_25,4
e,26,1,dependency_3,achievement_26,5
e,27,1,dependency_3,achievement_27,6
e,28,1,dependency_3,achievement_28,7
e,29,1,dependency_3,achievement_29,8
e,30,1,dependency_3,achievement_30,9
e,31,1,dependency_4,achievement_31,1
e,32,1,dependency_4,achievement_32,2
e,33,1,dependency_4,achievement_33,3
e,34,1,dependency_4,achievement_34,4
e,35,1,dependency_4,achievement_35,5
e,36,1,dependency_4,achievement_36,6
e,37,1,dependency_4,achievement_37,7
e,38,1,dependency_4,achievement_38,8
e,39,1,dependency_4,achievement_39,9
e,40,1,dependency_5,achievement_44,1
e,41,1,dependency_5,achievement_45,2
e,42,1,dependency_5,achievement_46,3
e,43,1,dependency_6,achievement_47,1
e,44,1,dependency_6,achievement_48,2
e,45,1,dependency_7,achievement_49,1
e,46,1,dependency_7,achievement_50,2
e,47,1,dependency_8,achievement_51,1
e,48,1,dependency_8,achievement_52,2
e,49,1,dependency_9,achievement_53,1
e,50,1,dependency_9,achievement_54,2
e,51,1,dependency_10,achievement_55,1
e,52,1,dependency_10,achievement_56,2
e,53,1,dependency_11,achievement_57,1
e,54,1,dependency_11,achievement_58,2
e,55,1,dependency_12,achievement_59,1
e,56,1,dependency_12,achievement_60,2
e,57,1,dependency_13,achievement_61,1
e,58,1,dependency_13,achievement_62,2
e,59,1,dependency_14,achievement_63,1
e,60,1,dependency_14,achievement_64,2
e,61,1,dependency_15,achievement_65,1
e,62,1,dependency_15,achievement_66,2
e,63,1,dependency_16,achievement_67,1
e,64,1,dependency_16,achievement_68,2
e,100,1,dependency_100,achievement_Test_01,1
e,101,1,dependency_100,achievement_Test_02,2
