ENABLE,id,release_key,mst_pvp_id,reward_category,condition_value
e,default_reward_ranking_1,202509010,default_pvp,Ranking,1
e,default_reward_ranking_2,202509010,default_pvp,Ranking,2
e,default_reward_ranking_3,202509010,default_pvp,Ranking,3
e,default_reward_ranking_4,202509010,default_pvp,Ranking,50
e,default_reward_ranking_5,202509010,default_pvp,Ranking,100
e,default_reward_ranking_6,202509010,default_pvp,Ranking,1000
e,default_reward_ranking_7,202509010,default_pvp,Ranking,5000
e,default_reward_ranking_8,202509010,default_pvp,Ranking,10000
e,default_reward_rank_1,202509010,default_pvp,RankClass,default_Bronze_1
e,default_reward_rank_2,202509010,default_pvp,RankClass,default_Bronze_2
e,default_reward_rank_3,202509010,default_pvp,RankClass,default_Bronze_3
e,default_reward_rank_4,202509010,default_pvp,RankClass,default_Bronze_4
e,default_reward_rank_5,202509010,default_pvp,RankClass,default_Silver_1
e,default_reward_rank_6,202509010,default_pvp,RankClass,default_Silver_2
e,default_reward_rank_7,202509010,default_pvp,RankClass,default_Silver_3
e,default_reward_rank_8,202509010,default_pvp,RankClass,default_Silver_4
e,default_reward_rank_9,202509010,default_pvp,RankClass,default_Gold_1
e,default_reward_rank_10,202509010,default_pvp,RankClass,default_Gold_2
e,default_reward_rank_11,202509010,default_pvp,RankClass,default_Gold_3
e,default_reward_rank_12,202509010,default_pvp,RankClass,default_Gold_4
e,default_reward_rank_13,202509010,default_pvp,RankClass,default_Platinum_1
e,default_reward_rank_14,202509010,default_pvp,RankClass,default_Platinum_2
e,default_reward_rank_15,202509010,default_pvp,RankClass,default_Platinum_3
e,default_reward_rank_16,202509010,default_pvp,RankClass,default_Platinum_4
e,default_reward_totalscore_1,202512010,default_pvp,TotalScore,10
e,default_reward_totalscore_2,202512010,default_pvp,TotalScore,30
e,default_reward_totalscore_3,202512010,default_pvp,TotalScore,50
e,default_reward_totalscore_4,202512010,default_pvp,TotalScore,75
e,default_reward_totalscore_5,202512010,default_pvp,TotalScore,100
e,default_reward_totalscore_6,202512010,default_pvp,TotalScore,150
e,default_reward_totalscore_7,202512010,default_pvp,TotalScore,200
e,default_reward_totalscore_8,202512010,default_pvp,TotalScore,300
e,default_reward_totalscore_9,202512010,default_pvp,TotalScore,400
e,default_reward_totalscore_10,202512010,default_pvp,TotalScore,500
e,default_reward_totalscore_11,202512010,default_pvp,TotalScore,750
e,default_reward_totalscore_12,202512010,default_pvp,TotalScore,1000
e,default_reward_totalscore_13,202512010,default_pvp,TotalScore,1250
e,default_reward_totalscore_14,202512010,default_pvp,TotalScore,1500
e,default_reward_totalscore_15,202512010,default_pvp,TotalScore,2000
