ENABLE,id,release_key,mst_event_id,start_at,end_at
e,event_kai_00001_daily_bonus,202509010,event_kai_00001,"2025-09-24 14:00:00","2025-10-06 03:59:59"
e,event_spy_00001_daily_bonus,202510010,event_spy_00001,"2025-10-06 15:00:00","2025-10-22 03:59:59"
e,event_dan_00001_daily_bonus,202510020,event_dan_00001,"2025-10-22 15:00:00","2025-11-06 03:59:59"
e,event_mag_00001_daily_bonus,202511010,event_mag_00001,"2025-11-06 15:00:00","2025-11-25 03:59:59"
e,event_yuw_00001_daily_bonus,202511020,event_yuw_00001,"2025-11-25 15:00:00","2025-12-08 03:59:59"
e,event_sur_00001_daily_bonus,202512010,event_sur_00001,"2025-12-08 15:00:00","2026-01-01 03:59:59"
e,event_osh_00001_daily_bonus,202512020,event_osh_00001,"2026-01-01 00:00:00","2026-01-16 03:59:59"
e,event_jig_00001_daily_bonus,202601010,event_jig_00001,"2026-01-16 15:00:00","2026-02-02 03:59:59"
e,event_you_00001_daily_bonus,202602015,event_you_00001,"2026-02-02 15:00:00","2026-02-16 03:59:59"
e,event_kim_00001_daily_bonus,202602020,event_kim_00001,"2026-02-16 15:00:00","2026-03-02 03:59:59"
e,event_hut_00001_daily_bonus,202603010,event_hut_00001,"2026-03-02 15:00:00","2026-03-16 03:59:59"
e,event_glo_00002_daily_bonus,202603020,event_glo_00002,"2026-03-16 15:00:00","2026-03-30 03:59:59"
e,event_glo_00003_daily_bonus,202603025,event_glo_00003,"2026-03-30 04:00:00","2026-04-13 03:59:59"
