ENABLE,id,release_key,mst_dummy_user_id,mst_unit_id,level,rank,grade_level
e,test0_1,1,dummy_0_1,chara_aha_00001,1,1,1
e,test0_2,1,dummy_0_2,chara_aha_00001,1,1,1
e,test0_3,1,dummy_0_3,chara_aha_00001,1,1,1
e,test,1,dummy_1,chara_aha_00001,1,1,1
e,test2,1,dummy_2,chara_aha_00001,1,1,1
e,test3,1,dummy_3,chara_aha_00001,1,1,1
e,test4,1,dummy_4,chara_aha_00001,1,1,1
e,test5,1,dummy_5,chara_aha_00001,1,1,1
e,test6,1,dummy_6,chara_aha_00001,1,1,1
e,test7,1,dummy_7,chara_aha_00001,1,1,1
e,test8,1,dummy_8,chara_aha_00001,1,1,1
e,test9,1,dummy_9,chara_aha_00001,1,1,1
e,test10,1,dummy_10,chara_aha_00001,1,1,1
e,test11,1,dummy_11,chara_aha_00001,1,1,1
e,test12,1,dummy_12,chara_aha_00001,1,1,1
e,test13,1,dummy_13,chara_aha_00001,1,1,1
e,test14,1,dummy_14,chara_aha_00001,1,1,1
e,test15,1,dummy_15,chara_aha_00001,1,1,1
e,test16,1,dummy_16,chara_aha_00001,1,1,1
e,test17,1,dummy_17,chara_aha_00001,1,1,1
e,test18,1,dummy_18,chara_aha_00001,1,1,1
e,test19,1,dummy_19,chara_aha_00001,1,1,1
e,test20,1,dummy_20,chara_aha_00001,1,1,1
e,test21,1,dummy_21,chara_aha_00001,1,1,1
e,test22,1,dummy_22,chara_aha_00001,1,1,1
e,test23,1,dummy_23,chara_aha_00001,1,1,1
e,test24,1,dummy_24,chara_aha_00001,1,1,1
e,test25,1,dummy_25,chara_aha_00001,1,1,1
e,test26,1,dummy_26,chara_aha_00001,1,1,1
e,test27,1,dummy_27,chara_aha_00001,1,1,1
e,test28,1,dummy_28,chara_aha_00001,1,1,1
e,test29,1,dummy_29,chara_aha_00001,1,1,1
e,test30,1,dummy_30,chara_aha_00001,1,1,1
e,test31,1,dummy_31,chara_aha_00001,1,1,1
e,test32,1,dummy_32,chara_aha_00001,1,1,1
e,test33,1,dummy_33,chara_aha_00001,1,1,1
e,test34,1,dummy_34,chara_aha_00001,1,1,1
e,test35,1,dummy_35,chara_aha_00001,1,1,1
e,test36,1,dummy_36,chara_aha_00001,1,1,1
e,test37,1,dummy_37,chara_aha_00001,1,1,1
e,test38,1,dummy_38,chara_aha_00001,1,1,1
e,test39,1,dummy_39,chara_aha_00001,1,1,1
e,test40,1,dummy_40,chara_aha_00001,1,1,1
e,test41,1,dummy_41,chara_aha_00001,1,1,1
e,test42,1,dummy_42,chara_aha_00001,1,1,1
e,test43,1,dummy_43,chara_aha_00001,1,1,1
e,test44,1,dummy_44,chara_aha_00001,1,1,1
e,test45,1,dummy_45,chara_aha_00001,1,1,1
e,test46,1,dummy_46,chara_aha_00001,1,1,1
e,test47,1,dummy_47,chara_aha_00001,1,1,1
e,test48,1,dummy_48,chara_aha_00001,1,1,1
e,test49,1,dummy_49,chara_aha_00001,1,1,1
e,test50,1,dummy_50,chara_aha_00001,1,1,1
