ENABLE,release_key,id,mst_store_product_id,language,price_ios,price_android,price_webstore,paid_diamond_price_ios,paid_diamond_price_android,paid_diamond_price_webstore
e,202509010,1_ja,1,ja,160,160,0,0,0,0
e,202509010,2_ja,2,ja,480,480,0,0,0,0
e,202509010,3_ja,3,ja,1000,1000,0,0,0,0
e,202509010,4_ja,4,ja,3000,3000,0,0,0,0
e,202509010,5_ja,5,ja,4900,4900,0,0,0,0
e,202509010,6_ja,6,ja,10000,10000,0,0,0,0
e,202509010,7_ja,7,ja,160,160,0,0,0,0
e,202509010,8_ja,8,ja,480,480,0,0,0,0
e,202509010,9_ja,9,ja,1000,1000,0,0,0,0
e,202509010,10_ja,10,ja,3000,3000,0,0,0,0
e,202509010,11_ja,11,ja,4900,4900,0,0,0,0
e,202509010,12_ja,12,ja,10000,10000,0,0,0,0
e,202509010,13_ja,13,ja,300,300,0,0,0,0
e,202509010,14_ja,14,ja,980,980,0,0,0,0
e,202509010,15_ja,15,ja,1500,1500,0,0,0,0
e,202509010,16_ja,16,ja,3000,3000,0,0,0,0
e,202509010,17_ja,17,ja,780,780,0,0,0,0
e,202509010,18_ja,18,ja,0,0,0,0,0,0
e,202510010,19_ja,19,ja,3000,3000,0,0,0,0
e,202510020,20_ja,20,ja,3000,3000,0,0,0,0
e,202511010,21_ja,21,ja,3000,3000,0,0,0,0
e,202511020,22_ja,22,ja,3000,3000,0,0,0,0
e,202511020,23_ja,23,ja,3000,3000,0,0,0,0
e,202511020,24_ja,24,ja,10000,10000,0,0,0,0
e,202511020,25_ja,25,ja,980,980,0,0,0,0
e,202511020,26_ja,26,ja,2000,2000,0,0,0,0
e,202511020,27_ja,27,ja,5000,5000,0,0,0,0
e,202512015,28_ja,28,ja,980,980,0,0,0,0
e,202512015,29_ja,29,ja,2980,2980,0,0,0,0
e,202512015,30_ja,30,ja,5000,5000,0,0,0,0
e,202512015,31_ja,31,ja,980,980,0,0,0,0
e,202512015,32_ja,32,ja,2980,2980,0,0,0,0
e,202512015,33_ja,33,ja,4980,4980,0,0,0,0
e,202512015,34_ja,34,ja,9800,9800,0,0,0,0
e,202512010,35_ja,35,ja,3000,3000,0,0,0,0
e,202512010,36_ja,36,ja,980,980,0,0,0,0
e,202512020,37_ja,37,ja,3000,3000,0,0,0,0
e,202512020,38_ja,38,ja,480,480,0,0,0,0
e,202512020,39_ja,39,ja,1980,1980,0,0,0,0
e,202512020,40_ja,40,ja,2980,2980,0,0,0,0
e,202512020,41_ja,41,ja,4980,4980,0,0,0,0
e,202512020,42_ja,42,ja,6980,6980,0,0,0,0
e,202512020,43_ja,43,ja,9800,9800,0,0,0,0
e,202512020,44_ja,44,ja,980,980,0,0,0,0
e,202512020,45_ja,45,ja,2980,2980,0,0,0,0
e,202512020,46_ja,46,ja,4980,4980,0,0,0,0
e,202512020,47_ja,47,ja,10000,10000,0,0,0,0
e,202512020,48_ja,48,ja,1980,1980,0,0,0,0
e,202512015,49_ja,49,ja,320,0,0,0,0,0
e,202601010,50_ja,50,ja,3000,3000,0,0,0,0
e,202512020,51_ja,51,ja,980,980,0,0,0,0
e,202601010,52_ja,52,ja,980,980,0,0,0,0
e,202602015,53_ja,53,ja,3000,3000,0,0,0,0
e,202602010,54_ja,54,ja,1980,1980,0,0,0,0
e,202602010,55_ja,55,ja,1980,1980,0,0,0,0
e,202602010,56_ja,56,ja,1980,1980,0,0,0,0
e,202602010,57_ja,57,ja,1980,1980,0,0,0,0
e,202602010,58_ja,58,ja,1980,1980,0,0,0,0
e,202602010,59_ja,59,ja,1980,1980,0,0,0,0
e,202602010,60_ja,60,ja,1980,1980,0,0,0,0
e,202602010,61_ja,61,ja,480,480,0,0,0,0
e,202602010,62_ja,62,ja,1480,1480,0,0,0,0
e,202602010,63_ja,63,ja,1980,1980,0,0,0,0
e,202601010,64_ja,64,ja,480,480,0,0,0,0
e,202601010,65_ja,65,ja,980,980,0,0,0,0
e,202601010,66_ja,66,ja,2480,2480,0,0,0,0
e,202601010,67_ja,67,ja,4980,4980,0,0,0,0
e,202601010,68_ja,68,ja,9480,9480,0,0,0,0
e,202602020,69_ja,69,ja,3000,3000,0,0,0,0
e,202602020,70_ja,70,ja,980,980,0,0,0,0
e,202603010,71_ja,71,ja,1980,1980,0,0,0,0
e,202603010,72_ja,72,ja,1980,1980,0,0,0,0
e,202603010,73_ja,73,ja,1980,1980,0,0,0,0
e,202603010,74_ja,74,ja,1980,1980,0,0,0,0
e,202603010,75_ja,75,ja,1980,1980,0,0,0,0
e,202603010,76_ja,76,ja,480,480,0,0,0,0
e,202603010,77_ja,77,ja,1480,1480,0,0,0,0
e,202602020,78_ja,78,ja,1980,1980,0,0,0,0
e,202602010,79_ja,79,ja,160,160,0,0,0,0
e,202602010,80_ja,80,ja,480,480,0,0,0,0
e,202602010,81_ja,81,ja,980,980,0,0,0,0
e,202602010,82_ja,82,ja,2480,2480,0,0,0,0
e,202602010,83_ja,83,ja,4980,4980,0,0,0,0
e,202602010,84_ja,84,ja,9480,9480,0,0,0,0
e,202603010,85_ja,85,ja,3000,3000,0,0,0,0
e,202603010,86_ja,86,ja,1980,1980,0,0,0,0
e,202602020,87_ja,87,ja,100,100,0,0,0,0
e,202603020,88_ja,88,ja,3000,3000,0,0,0,0
e,202603020,89_ja,89,ja,480,480,0,0,0,0
e,202603020,90_ja,90,ja,1980,1980,0,0,0,0
e,202603020,91_ja,91,ja,4980,4980,0,0,0,0
e,202603020,92_ja,92,ja,10000,10000,0,0,0,0
e,202603020,93_ja,93,ja,300,300,0,0,0,0
e,202603020,94_ja,94,ja,480,480,0,0,0,0
e,202603020,95_ja,95,ja,980,980,0,0,0,0
e,202603020,96_ja,96,ja,2980,2980,0,0,0,0
e,202603020,97_ja,97,ja,4980,4980,0,0,0,0
e,202603020,98_ja,98,ja,10000,10000,0,0,0,0
e,202603020,99_ja,99,ja,150,150,0,0,0,0
e,202603020,100_ja,100,ja,1980,1980,0,0,0,0
e,202603020,101_ja,101,ja,1980,1980,0,0,0,0
e,202603025,102_ja,102,ja,300,300,0,0,0,0
e,202603025,103_ja,103,ja,480,480,0,0,0,0
e,202603025,104_ja,104,ja,980,980,0,0,0,0
e,202603025,105_ja,105,ja,2980,2980,0,0,0,0
e,202603025,106_ja,106,ja,4980,4980,0,0,0,0
e,202603025,107_ja,107,ja,3000,3000,0,0,0,0
e,202603025,108_ja,108,ja,10000,10000,0,0,0,0
e,202603025,109_ja,109,ja,150,150,0,0,0,0
e,202603025,110_ja,110,ja,980,980,0,0,0,0
e,202603025,111_ja,111,ja,480,480,0,0,0,0
e,202603025,112_ja,112,ja,1480,1480,0,0,0,0
e,202603025,113_ja,113,ja,1980,1980,0,0,0,0
e,202603020,114_ja,114,ja,300,300,0,0,0,0
e,202603020,115_ja,115,ja,160,160,0,0,0,0
e,202602020,bnei0434_webstore_00001_ja,bnei0434_webstore_00001,ja,0,0,0,0,0,0
e,202602020,bnei0434_webstore_00002_ja,bnei0434_webstore_00002,ja,0,0,0,0,0,0
e,202602020,bnei0434_webstore_00003_ja,bnei0434_webstore_00003,ja,0,0,160,0,0,80
e,202602020,bnei0434_webstore_00004_ja,bnei0434_webstore_00004,ja,0,0,480,0,0,240
e,202602020,bnei0434_webstore_00005_ja,bnei0434_webstore_00005,ja,0,0,800,0,0,490
e,202602020,bnei0434_webstore_00006_ja,bnei0434_webstore_00006,ja,0,0,160,0,0,80
e,202602020,bnei0434_webstore_00007_ja,bnei0434_webstore_00007,ja,0,0,480,0,0,240
e,202602020,bnei0434_webstore_00008_ja,bnei0434_webstore_00008,ja,0,0,1000,0,0,510
e,202602020,bnei0434_webstore_00009_ja,bnei0434_webstore_00009,ja,0,0,3000,0,0,1560
e,202602020,bnei0434_webstore_00010_ja,bnei0434_webstore_00010,ja,0,0,4900,0,0,2600
e,202602020,bnei0434_webstore_00011_ja,bnei0434_webstore_00011,ja,0,0,10000,0,0,5400
e,202602020,bnei0434_webstore_00012_ja,bnei0434_webstore_00012,ja,0,0,800,0,0,0
e,202602020,bnei0434_webstore_00013_ja,bnei0434_webstore_00013,ja,0,0,2900,0,0,0
