ENABLE,release_key,id,mst_box_gacha_group_id,is_pickup,resource_type,resource_id,resource_amount,stock
e,202602010,box_gacha_test_prize_101,box_gacha_test_group_1,1,Coin,,1,1
e,202602020,box_gacha_kim_01_prize_01_001,box_gacha_kim_01_group_001,1,FreeDiamond,,40,5
e,202602020,box_gacha_kim_01_prize_01_002,box_gacha_kim_01_group_001,1,Emblem,emblem_event_kim_00003,1,1
e,202602020,box_gacha_kim_01_prize_01_003,box_gacha_kim_01_group_001,1,Item,piece_kim_00101,5,1
e,202602020,box_gacha_kim_01_prize_01_004,box_gacha_kim_01_group_001,1,Item,piece_kim_00201,5,1
e,202602020,box_gacha_kim_01_prize_01_005,box_gacha_kim_01_group_001,1,Item,piece_kim_00301,5,1
e,202602020,box_gacha_kim_01_prize_01_006,box_gacha_kim_01_group_001,1,Item,piece_kim_00101,4,1
e,202602020,box_gacha_kim_01_prize_01_007,box_gacha_kim_01_group_001,1,Item,piece_kim_00201,4,1
e,202602020,box_gacha_kim_01_prize_01_008,box_gacha_kim_01_group_001,1,Item,piece_kim_00301,4,1
e,202602020,box_gacha_kim_01_prize_01_009,box_gacha_kim_01_group_001,1,Item,ticket_glo_00002,1,1
e,202602020,box_gacha_kim_01_prize_01_010,box_gacha_kim_01_group_001,1,Item,ticket_glo_00003,1,1
e,202602020,box_gacha_kim_01_prize_01_011,box_gacha_kim_01_group_001,,Item,memoryfragment_glo_00001,4,11
e,202602020,box_gacha_kim_01_prize_01_012,box_gacha_kim_01_group_001,,Item,memoryfragment_glo_00002,2,8
e,202602020,box_gacha_kim_01_prize_01_013,box_gacha_kim_01_group_001,,Item,memoryfragment_glo_00003,2,2
e,202602020,box_gacha_kim_01_prize_01_014,box_gacha_kim_01_group_001,,Item,memory_glo_00001,50,11
e,202602020,box_gacha_kim_01_prize_01_015,box_gacha_kim_01_group_001,,Item,memory_glo_00002,50,11
e,202602020,box_gacha_kim_01_prize_01_016,box_gacha_kim_01_group_001,,Item,memory_glo_00003,50,11
e,202602020,box_gacha_kim_01_prize_01_017,box_gacha_kim_01_group_001,,Item,memory_glo_00004,50,11
e,202602020,box_gacha_kim_01_prize_01_018,box_gacha_kim_01_group_001,,Item,memory_glo_00005,50,11
e,202602020,box_gacha_kim_01_prize_01_019,box_gacha_kim_01_group_001,,Coin,,5000,10
e,202602020,box_gacha_kim_01_prize_02_001,box_gacha_kim_01_group_002,1,FreeDiamond,,10,2
e,202602020,box_gacha_kim_01_prize_02_002,box_gacha_kim_01_group_002,1,Item,piece_kim_00101,5,1
e,202602020,box_gacha_kim_01_prize_02_003,box_gacha_kim_01_group_002,,Item,memoryfragment_glo_00001,1,8
e,202602020,box_gacha_kim_01_prize_02_004,box_gacha_kim_01_group_002,,Item,memoryfragment_glo_00002,1,6
e,202602020,box_gacha_kim_01_prize_02_005,box_gacha_kim_01_group_002,,Item,memoryfragment_glo_00003,1,3
e,202602020,box_gacha_kim_01_prize_02_006,box_gacha_kim_01_group_002,,Item,memory_glo_00001,10,10
e,202602020,box_gacha_kim_01_prize_02_007,box_gacha_kim_01_group_002,,Item,memory_glo_00002,10,10
e,202602020,box_gacha_kim_01_prize_02_008,box_gacha_kim_01_group_002,,Item,memory_glo_00003,10,10
e,202602020,box_gacha_kim_01_prize_02_009,box_gacha_kim_01_group_002,,Item,memory_glo_00004,10,10
e,202602020,box_gacha_kim_01_prize_02_010,box_gacha_kim_01_group_002,,Item,memory_glo_00005,10,10
