,,,,,,,,,,,,,,,,,,,,,,,,,,
,作成開始日,,,担当者,,,,,,,,,,,クエストフレーバーテキスト（最大18文字×8行）,,,,,,,,,,,文字数
,2025/11/10,,,前田,,,,,,,,,,,『【推しの子】』のクエスト。,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,このクエストでは、火傷コマが登場。,,,,,,,,,,,17
,クエスト名,,,17.【推しの子】,,,,,,,,,,,キャラの特性で対策して挑もう!,,,,,,,,,,,15
,クエストID_normal,,,quest_main_osh_normal_17,,,,,,,,,,,,,,,,,,,,,,0
,クエストID_hard,,,quest_main_osh_hard_17,,,,,,,,,,,,,,,,,,,,,,0
,クエストID_ex,,,quest_main_osh_veryhard_17,,,,,,,,,,,,,,,,,,,,,,0
,クエスト種類,,,メインクエスト,,,,,,,,,,,,,,,,,,,,,,0
,デプロイ番号,,,202512020,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,開催期間,,,,,,,,,,,,,,,,,,,,,,,,,
,開始日時,,2026/01/01,,,0:00:00,,,から,,,,,,,,,,,,,,,,,
,終了日時,,,,,,,,終了なし,,,,,,,,,,,,,,,,,
